Argentina,Diego,Gutiérrez,diego.gutierrez@yahoo.ar,37.62
Australia,Mark,Taylor,mark.taylor@yahoo.au,37.62
Austria,Astrid,Gruber,astrid.gruber@apple.at,42.62
Belgium,Daan,Peeters,daan_peeters@apple.be,37.62
Brazil,Luís,Gonçalves,luisg@embraer.com.br,39.62
Canada,François,Tremblay,ftremblay@gmail.com,39.62
Chile,Luis,Rojas,luisrojas@yahoo.cl,46.62
Czech Republic,Helena,Holý,hholy@gmail.com,49.62
Denmark,Kara,Nielsen,kara.nielsen@jubii.dk,37.62
Finland,Terhi,Hämäläinen,terhi.hamalainen@apple.fi,41.62
France,Isabelle,Mercier,isabelle_mercier@apple.fr,40.62
Germany,Fynn,Zimmermann,fzimmermann@yahoo.de,43.62
Hungary,Ladislav,Kovács,ladislav_kovacs@apple.hu,45.62
India,Manoj,Pareek,manoj.pareek@rediff.com,38.62
Ireland,Hugh,O'Reilly,hughoreilly@apple.ie,45.62
Italy,Lucas,Mancini,lucas.mancini@yahoo.it,37.62
Netherlands,Johannes,Van der Berg,johavanderberg@yahoo.nl,40.62
Norway,Bjørn,Hansen,bjorn.hansen@yahoo.no,39.62
Poland,Stanisław,Wójcik,stanisław.wójcik@wp.pl,37.62
Portugal,João,Fernandes,jfernandes@yahoo.pt,39.62
Spain,Enrique,Muñoz,enrique_munoz@yahoo.es,37.62
Sweden,Joakim,Johansson,joakim.johansson@yahoo.se,38.62
United Kingdom,Phil,Hughes,phil.hughes@gmail.com,37.62
United Kingdom,Emma,Jones,emma_jones@hotmail.com,37.62
United Kingdom,Steve,Murray,steve.murray@yahoo.uk,37.62
USA,Richard,Cunningham,ricunningham@hotmail.com,47.62
